gene_id	trimmed_mean_expression
ENSG00000046651.15	35.616806
ENSG00000046653.15	4.8100076
ENSG00000046774.10	0.0026078816
ENSG00000046889.19	0.50873977
ENSG00000047056.16	33.185596
ENSG00000047188.16	16.00774
ENSG00000047230.15	11.89971
ENSG00000047249.18	30.358091
ENSG00000047315.17	69.22677
ENSG00000047346.12	21.547295
ENSG00000047365.12	23.804714
ENSG00000047410.14	51.933838
ENSG00000047457.14	1.0981472
ENSG00000047578.13	11.799151
ENSG00000047579.20	22.236557
ENSG00000047597.7	18.502087
ENSG00000047617.15	0.19549616
ENSG00000047621.12	10.180752
ENSG00000047634.15	5.4542837
ENSG00000047644.19	14.668177
ENSG00000047648.23	1.0436269
ENSG00000047662.5	1.9657019
ENSG00000047849.21	31.211311
ENSG00000047932.14	16.38383
ENSG00000047936.11	0.02269537
ENSG00000048028.11	9.508884
ENSG00000048052.22	6.5309553
ENSG00000048140.18	15.836542
ENSG00000048162.21	8.349072
ENSG00000048342.17	2.1040635
ENSG00000048392.12	17.257156
ENSG00000048405.10	57.41776
ENSG00000048462.11	1.2874396
ENSG00000048471.14	20.63953
ENSG00000048540.15	0.12209527
ENSG00000048544.6	44.452164
ENSG00000048545.16	0.18161772
ENSG00000048649.13	18.255455
ENSG00000048707.15	27.274954
ENSG00000048740.18	116.53592
ENSG00000048828.17	81.81948
ENSG00000048991.16	25.378101
ENSG00000049089.15	20.003267
ENSG00000049130.16	0.45157117
ENSG00000049167.15	4.3569922
ENSG00000049192.15	2.0882313
ENSG00000049239.13	39.241085
ENSG00000049245.13	106.56983
ENSG00000049246.14	1.767315
ENSG00000049247.14	1.1008502
ENSG00000049249.9	1.8808209
ENSG00000049283.18	0.16235153
ENSG00000049323.16	17.176287
ENSG00000049449.10	10.8403225
ENSG00000049540.18	1.2891177
ENSG00000049541.11	38.2485
ENSG00000049618.24	20.175058
ENSG00000049656.14	38.73022
ENSG00000049759.19	1.2502073
ENSG00000049768.16	2.9123683
ENSG00000049769.14	2.2147222
ENSG00000049860.14	45.441174
ENSG00000049883.15	3.1162364
ENSG00000050030.16	0.04953636
ENSG00000050130.18	21.124792
ENSG00000050165.18	0.42296773
ENSG00000050327.15	1.3449874
ENSG00000050344.9	16.547146
ENSG00000050393.11	12.872286
ENSG00000050405.13	8.088987
ENSG00000050426.16	28.314384
ENSG00000050438.17	1.669725
ENSG00000050555.19	0.8749342
ENSG00000050628.20	0.6538877
ENSG00000050730.16	0.27539545
ENSG00000050748.18	14.758285
ENSG00000050767.17	20.158127
ENSG00000050820.17	0.19127892
ENSG00000051009.11	48.51073
ENSG00000051108.15	75.33117
ENSG00000051128.19	23.85286
ENSG00000051180.17	11.316637
ENSG00000051341.14	9.403688
ENSG00000051382.9	34.56922
ENSG00000051523.11	262.25
ENSG00000051596.10	6.076586
ENSG00000051620.11	19.582602
